case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode,r28_gated_r27_gate,r28_gated_r27_status,r28_postpass,r28_postpass_accepted,r28_postpass_reject_reason,r28_postpass_opt_returncode,r28_postpass_cec_pass,r28_postpass_opt_error,r28_node_delta_vs_v5,r28_level_delta_vs_v5,r29_postpass_gate,r29_postpass_status,r29_postpass,r29_postpass_accepted,r29_postpass_reject_reason,r29_postpass_opt_returncode,r29_postpass_cec_pass,r29_postpass_opt_error,r29_node_delta_vs_v6,r29_level_delta_vs_v6
tc_public_19,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_19\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@inputs+r29_mfs_strash_dc2_rwz_bal,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_19\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_19\work\v6\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_19\work\v6\work\v5\work\variants\inputs\baseline.blif,5184,18,5403,18,5157,18,5478,18,0,0,True,8.801613,4.98905,0.630506,21.129,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_19\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,large_smallpo_fraig_cleanup,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-27,0
tc_public_2,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_2\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_2\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_2\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_2\work\v6\work\v5\work\variants\clean\baseline.blif,19,4,19,4,19,4,34,6,0,0,True,0.404063,0.768309,0.376295,7.461,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_2\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0
tc_public_20,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_20\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@inputs+r29_mfs_strash_dc2_rwz_bal,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_20\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_20\work\v6\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_20\work\v6\work\v5\work\variants\inputs\baseline.blif,5445,20,5667,20,5412,20,5742,20,0,0,True,9.769601,5.788293,0.615409,21.465,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_20\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,large_smallpo_fraig_cleanup,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-33,0
tc_public_21,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_21\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@inputs+r29_mfs_strash_dc2_rwz_bal,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_21\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_21\work\v6\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_21\work\v6\work\v5\work\variants\inputs\baseline.blif,5448,20,5688,20,5412,20,5763,20,0,0,True,9.901003,5.829517,0.622573,21.891,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_21\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,large_smallpo_fraig_cleanup,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-36,0
tc_public_22,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_22\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@both+r29_mfs_strash_dc2_rwz_bal,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_22\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_22\work\v6\work\v5\work\variants\both\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_22\work\v6\work\v5\work\variants\both\baseline.blif,10740,20,11274,20,10683,20,11367,20,0,0,True,17.60794,9.971951,0.703953,27.824,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_22\work\logs,both,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,large_smallpo_fraig_cleanup,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-57,0
tc_public_23,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_23\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@inputs+r29_mfs_strash_dc2_rwz_bal,r11_deepsyn_medium_tiny_po,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_23\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_23\work\v6\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_23\work\v6\work\v5\work\variants\inputs\baseline.blif,1318,13,1530,16,1311,13,1530,263,0,0,True,24.631106,0.755712,0.489674,13.758,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_23\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,r11_deepsyn_medium_tiny_po,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-7,0
tc_public_24,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_24\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_24\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_24\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_24\work\v6\work\v5\work\variants\clean\baseline.blif,215,8,215,8,215,8,223,15,0,0,True,0.400172,0.412456,0.371958,7.438,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_24\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0
tc_public_25,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_25\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_25\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_25\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_25\work\v6\work\v5\work\variants\clean\baseline.blif,26,4,26,4,26,4,101,14,0,0,True,0.390288,0.376825,0.383104,7.438,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_25\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0
tc_public_26,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_26\input.blif,r25_dsd_dch_cleanup,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,r25_dsd_medium_small_pi_medium_po_shared,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_26\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_26\work\v6\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_26\work\v6\work\v5\work\variants\inputs\baseline.blif,450,10,1064,10,449,10,1064,32,0,0,True,0.8804,0.690493,0.481989,19.379,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_26\work\v6\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,r25_dsd_inputs,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-1,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0
tc_public_27,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_27\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_27\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_27\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_27\work\v6\work\v5\work\variants\clean\baseline.blif,376,7,376,7,376,7,576,20,0,0,True,0.398122,0.40413,0.390641,7.719,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_27\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0
tc_public_28,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_28\input.blif,r25_dsd_dch_cleanup,r25_dsd_dch_cleanup@clean,r25_dsd_small_small_pi_small_po_shared_dup,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_28\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_28\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_28\work\v6\work\v5\work\variants\clean\baseline.blif,258,8,520,7,258,8,576,20,0,0,True,0.444513,0.432665,0.370843,17.809,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_28\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0
tc_public_29,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_29\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@inputs,r11_deepsyn_small_small_pi_small_po,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_29\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_29\work\v6\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_29\work\v6\work\v5\work\variants\inputs\baseline.blif,97,6,119,6,97,6,121,8,0,0,True,1.647701,0.368499,0.363452,13.887,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_29\work\v6\work\v5\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0
tc_public_3,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_3\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_3\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_3\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_3\work\v6\work\v5\work\variants\clean\baseline.blif,94,8,150,11,94,8,208,13,0,0,True,3.877857,0.807628,0.378272,14.961,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_3\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0
tc_public_30,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_30\input.blif,r25_dsd_dch_cleanup,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,r25_dsd_large_tiny_pi_small_po_shared,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_30\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_30\work\v6\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_30\work\v6\work\v5\work\variants\inputs\baseline.blif,403,13,9443,22,392,12,14139,1036,0,0,True,1.116948,19.416029,0.465005,30.348,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_30\work\v6\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,r25_dsd_inputs,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-11,-1,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0
tc_public_4,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_4\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@inputs,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_4\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_4\work\v6\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_4\work\v6\work\v5\work\variants\inputs\baseline.blif,61,8,118,9,61,8,145,12,0,0,True,2.101648,0.773715,0.389517,12.727,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_4\work\v6\work\v5\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0
tc_public_5,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_5\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_5\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_5\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_5\work\v6\work\v5\work\variants\clean\baseline.blif,65,2,66,2,65,2,128,2,0,0,True,0.41672,0.387501,0.386787,7.684,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_5\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0
